Customer,SalesOrg,DistributionChannel,FulfillmentMethod,Currency,UOM,RetailItemNumber,UPC,GTIN,Material,TCINNo,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,Time,Vendor,Store,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,TotalInvValue
104566,UK01,00,,GBP,PC,544937,,,6047284,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,2.5,0,5,0.00,0,5,,,12.50
104566,UK01,00,,GBP,PC,517235,,,6021698,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,0.5,0,3,0.00,0,3,,,1.50
104566,UK01,00,,GBP,PC,537298,,,6033385,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,7.5,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,540086,,,6047105,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,5,0,301,20.00,4,301,,,1505.00
104566,UK01,00,,GBP,PC,562204,,,6060118,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,2,0,178,12.00,6,178,,,356.00
104566,UK01,00,,GBP,PC,549336,,,6045087,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,5,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,538405,,,6045112,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,5,0,5,0.00,0,5,,,25.00
104566,UK01,00,,GBP,PC,537915,,,6045086,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,2,0,5,0.00,0,5,,,10.00
104566,UK01,00,,GBP,PC,544935,,,6046846,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,4,0,15,0.00,0,15,,,60.00
104566,UK01,00,,GBP,PC,558266,,,6045878,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,19.99,0,9,0.00,0,9,,,179.91
104566,UK01,00,,GBP,PC,556641,,,6059131,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,14.99,0,2526,1169.22,78,2526,,,37864.74
104566,UK01,00,,GBP,PC,549337,,,6045437,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,8,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,549315,,,6045116,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,4,0,2,0.00,0,2,,,8.00
104566,UK01,00,,GBP,PC,539385,,,6046183,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,10,0,1,0.00,0,1,,,10.00
104566,UK01,00,,GBP,PC,537295,,,6028769,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,7.5,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,545753,,,6054690,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,3,0,1,0.00,0,1,,,3.00
104566,UK01,00,,GBP,PC,537914,,,6045465,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,1,0,1,0.00,0,1,,,1.00
104566,UK01,00,,GBP,PC,545754,,,6054702,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,8,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,539052,,,6045092,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,1,0,1,0.00,0,1,,,1.00
104566,UK01,00,,GBP,PC,537913,,,6045161,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,1,0,12,0.00,0,12,,,12.00
104566,UK01,00,,GBP,PC,551310,,,6054807,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,1,0,1,0.00,0,1,,,1.00
104566,UK01,00,,GBP,PC,557313,,,6064915,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,5.5,0,73,0.00,0,73,,,401.50
104566,UK01,00,,GBP,PC,557312,,,6064912,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,5,0,1273,85.00,17,1273,,,6365.00
104566,UK01,00,,GBP,PC,559442,,,6064914,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,6,0,295,60.00,10,295,,,1770.00
104566,UK01,00,,GBP,PC,559443,,,6064863,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,12,0,209,12.00,1,209,,,2508.00
104566,UK01,00,,GBP,PC,539924,,,6045084,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,1.5,0,2,0.00,0,2,,,3.00
104566,UK01,00,,GBP,PC,524922,,,6027509,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,3.33,0,9,0.00,0,9,,,29.97
104566,UK01,00,,GBP,PC,550720,,,6052481,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,9.6,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,559441,,,6057498,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,6,0,3,0.00,0,3,,,18.00
104566,UK01,00,,GBP,PC,563023,,,6058485,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,6,0,4472,1626.00,271,4472,,,26832.00
104566,UK01,00,,GBP,PC,552744,,,6060401,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,12,0,7,0.00,0,7,,,84.00
104566,UK01,00,,GBP,PC,552743,,,6060400,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,12,0,9,0.00,0,9,,,108.00
104566,UK01,00,,GBP,PC,537916,,,6045436,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,3,0,2,0.00,0,2,,,6.00
104566,UK01,00,,GBP,PC,517231,,,6022680,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,13,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,524945,,,6027844,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,1,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,524938,,,6027797,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,1,0,1,0.00,0,1,,,1.00
104566,UK01,00,,GBP,PC,524941,,,6027799,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,5,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,563780,,,6065754,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,10,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,563781,,,6065714,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,29.99,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,563796,,,6067717,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,20,0,797,1440.00,72,797,,,15940.00
104566,UK01,00,,GBP,PC,563797,,,6068156,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,8,0,1079,1216.00,152,1079,,,8632.00
104566,UK01,00,,GBP,PC,545843,,,6056779,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,8,0,661,504.00,63,661,,,5288.00
104566,UK01,00,,GBP,PC,545842,,,6056778,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,8,0,469,432.00,54,469,,,3752.00
104566,UK01,00,,GBP,PC,563808,,,6067957,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,20,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,545844,,,6056902,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,12,0,2,0.00,0,2,,,24.00
104566,UK01,00,,GBP,PC,545841,,,6055634,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,5,0,4,0.00,0,4,,,20.00
104566,UK01,00,,GBP,PC,557319,,,6065268,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,19.99,0,704,679.66,34,704,,,14072.96
104566,UK01,00,,GBP,PC,545771,,,6056037,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,14.99,0,1,0.00,0,1,,,14.99
104566,UK01,00,,GBP,PC,563799,,,6067045,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,39.99,0,287,479.88,12,287,,,11477.13
104566,UK01,00,,GBP,PC,546315,,,6056040,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,20,0,3074,1480.00,74,3074,,,61480.00
104566,UK01,00,,GBP,PC,552742,,,6060362,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,14.99,0,12,0.00,0,12,,,179.88
104566,UK01,00,,GBP,PC,539389,,,6045132,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,5,0,16,0.00,0,16,,,80.00
104566,UK01,00,,GBP,PC,548955,,,6045134,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,1,0,6,0.00,0,6,,,6.00
104566,UK01,00,,GBP,PC,545772,,,6045136,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,3,0,406,12.00,4,406,,,1218.00
104566,UK01,00,,GBP,PC,545773,,,6045140,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,9.99,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,549358,,,6053931,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,5,0,3,0.00,0,3,,,15.00
104566,UK01,00,,GBP,PC,539386,,,6045148,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,3,0,3,0.00,0,3,,,9.00
104566,UK01,00,,GBP,PC,546310,,,6055868,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,3.5,0,7,0.00,0,7,,,24.50
104566,UK01,00,,GBP,PC,552735,,,6061459,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,7,0,21,0.00,0,21,,,147.00
104566,UK01,00,,GBP,PC,552739,,,6059973,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,7.5,0,17,0.00,0,17,,,127.50
104566,UK01,00,,GBP,PC,539387,,,6045146,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,2,0,1,0.00,0,1,,,2.00
104566,UK01,00,,GBP,PC,552736,,,6061538,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,7.5,0,35,0.00,0,35,,,262.50
104566,UK01,00,,GBP,PC,546311,,,6055885,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,10,0,41,10.00,1,41,,,410.00
104566,UK01,00,,GBP,PC,552741,,,6060838,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,29.99,0,2,0.00,0,2,,,59.98
104566,UK01,00,,GBP,PC,552738,,,6059850,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,3.33,0,5439,2610.72,784,5439,,,18111.87
104566,UK01,00,,GBP,PC,560150,,,6060272,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,16.49,0,49,32.98,2,49,,,808.01
104566,UK01,00,,GBP,PC,552740,,,6059411,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,16.49,0,745,379.27,23,745,,,12285.05
104566,UK01,00,,GBP,PC,559829,,,6063623,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,29.99,0,27,0.00,0,27,,,809.73
104566,UK01,00,,GBP,PC,563905,,,6065913,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,34.99,0,31,34.99,1,31,,,1084.69
104566,UK01,00,,GBP,PC,563908,,,6065724,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,11,0,0,0.00,0,0,,,0.00
