Customer,SalesOrg,Time,DistributionChannel,FulfillmentMethod,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0B5V8MXKL,,,,,,0,,33.00,,22,594.16,18,22,,,0,0.00,338.14,726.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0B1TV2ZD7,,,,,,0,,11.36,,976,249.96,22,976,,,5,71.27,13880.94,11087.36
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0953SQXDZ,,,,,,0,,6.66,,114,19.98,3,114,,,1,3.48,396.72,759.24
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B07P4JPNFB,,,,,,0,,113.82,,1,-113.82,-1,1,,,0,0.00,62.21,113.82
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0C2D9LVHK,,,,,,0,,13.64,,33,40.92,3,33,,,0,0.00,429.00,450.12
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0CCVZYVBS,,,,,,2000,,10.81,,0,75.74,7,0,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08SR87NPS,,,,,,44,,33.32,,246,599.76,18,246,,,1,18.77,4617.42,8196.72
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08T22CV82,,,,,,4024,,16.36,,5,1947.26,119,5,,,0,0.00,68.75,81.80
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0B252YYCT,,,,,,400,,16.66,,158,299.88,18,158,,,0,0.00,2054.00,2632.28
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B095798PJD,,,,,,0,,7.57,,0,22.74,3,,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08SR5BMPF,,,,,,0,,60.51,,344,605.11,10,344,,,0,0.00,10106.72,20815.44
